date,region,temperature_2m_K,AirTempAdjusted_K,AirTempAdjusted_oC
01/01/1985,AMZ01,296.9652068,297.812947,24.662947
01/02/1985,AMZ01,297.0605997,298.1377749,24.9877749
01/03/1985,AMZ01,297.6578563,298.584747,25.434747
01/04/1985,AMZ01,297.8923402,298.8168606,25.6668606
01/05/1985,AMZ01,297.1112092,298.0719086,24.9219086
01/06/1985,AMZ01,296.8401589,297.8042757,24.6542757
01/07/1985,AMZ01,296.9817523,297.8044526,24.6544526
01/08/1985,AMZ01,297.7123396,297.3590576,24.2090576
01/09/1985,AMZ01,298.7681803,297.124841,23.974841
01/10/1985,AMZ01,299.9675264,297.8007573,24.6507573
01/11/1985,AMZ01,299.0158688,297.1992919,24.0492919
01/12/1985,AMZ01,297.318702,296.7748263,23.6248263
01/01/1986,AMZ01,296.8163504,297.6640906,24.5140906
01/02/1986,AMZ01,296.9971286,298.0743038,24.9243038
01/03/1986,AMZ01,297.3048306,298.2317213,25.0817213
01/04/1986,AMZ01,297.7457933,298.6703137,25.5203137
01/05/1986,AMZ01,297.4871867,298.4478861,25.2978861
01/06/1986,AMZ01,296.7831516,297.7472684,24.5972684
01/07/1986,AMZ01,297.3321316,298.1548319,25.0048319
01/08/1986,AMZ01,298.9304914,298.5772094,25.4272094
01/09/1986,AMZ01,299.9815779,298.3382386,25.1882386
01/10/1986,AMZ01,300.4057883,298.2390192,25.0890192
01/11/1986,AMZ01,299.0822794,297.2657025,24.1157025
01/12/1986,AMZ01,298.2877534,297.7438777,24.5938777
01/01/1987,AMZ01,297.2530317,298.1007719,24.9507719
01/02/1987,AMZ01,297.9137704,298.9909456,25.8409456
01/03/1987,AMZ01,298.3962247,299.3231154,26.1731154
01/04/1987,AMZ01,297.9279769,298.8524973,25.7024973
01/05/1987,AMZ01,298.2096385,299.1703379,26.0203379
01/06/1987,AMZ01,298.2200597,299.1841765,26.0341765
01/07/1987,AMZ01,298.4588318,299.2815321,26.1315321
01/08/1987,AMZ01,299.8029736,299.4496916,26.2996916
01/09/1987,AMZ01,300.8199027,299.1765634,26.0265634
01/10/1987,AMZ01,301.5774916,299.4107225,26.2607225
01/11/1987,AMZ01,301.4606558,299.6440789,26.4940789
01/12/1987,AMZ01,300.4040484,299.8601727,26.7101727
01/01/1988,AMZ01,298.2435444,299.0912846,25.9412846
01/02/1988,AMZ01,298.0546531,299.1318283,25.9818283
01/03/1988,AMZ01,298.3599754,299.2868661,26.1368661
01/04/1988,AMZ01,298.2896589,299.2141793,26.0641793
01/05/1988,AMZ01,297.5483874,298.5090868,25.3590868
01/06/1988,AMZ01,297.4507078,298.4148246,25.2648246
01/07/1988,AMZ01,297.4569778,298.2796781,25.1296781
01/08/1988,AMZ01,298.9866986,298.6334166,25.4834166
01/09/1988,AMZ01,299.5312789,297.8879396,24.7379396
01/10/1988,AMZ01,300.0652522,297.8984831,24.7484831
01/11/1988,AMZ01,299.9552606,298.1386837,24.9886837
01/12/1988,AMZ01,297.5917594,297.0478837,23.8978837
01/01/1989,AMZ01,296.7510137,297.5987539,24.4487539
01/02/1989,AMZ01,296.8411542,297.9183294,24.7683294
01/03/1989,AMZ01,296.9566946,297.8835853,24.7335853
01/04/1989,AMZ01,297.4395084,298.3640288,25.2140288
01/05/1989,AMZ01,296.8427735,297.8034729,24.6534729
01/06/1989,AMZ01,297.1495475,298.1136643,24.9636643
01/07/1989,AMZ01,297.1718013,297.9945016,24.8445016
01/08/1989,AMZ01,298.5392184,298.1859364,25.0359364
01/09/1989,AMZ01,300.1667603,298.523421,25.373421
01/10/1989,AMZ01,299.9014532,297.7346841,24.5846841
01/11/1989,AMZ01,299.6956151,297.8790382,24.7290382
01/12/1989,AMZ01,298.627831,298.0839553,24.9339553
01/01/1990,AMZ01,297.7855422,298.6332824,25.4832824
01/02/1990,AMZ01,297.7655685,298.8427437,25.6927437
01/03/1990,AMZ01,297.6838068,298.6106975,25.4606975
01/04/1990,AMZ01,298.0333166,298.957837,25.807837
01/05/1990,AMZ01,298.067219,299.0279184,25.8779184
01/06/1990,AMZ01,297.8907639,298.8548807,25.7048807
01/07/1990,AMZ01,297.737508,298.5602083,25.4102083
01/08/1990,AMZ01,298.5887028,298.2354208,25.0854208
01/09/1990,AMZ01,300.2350588,298.5917195,25.4417195
01/10/1990,AMZ01,301.2085576,299.0417885,25.8917885
01/11/1990,AMZ01,300.3842356,298.5676587,25.4176587
01/12/1990,AMZ01,299.3105574,298.7666817,25.6166817
01/01/1991,AMZ01,297.3023554,298.1500956,25.0000956
01/02/1991,AMZ01,297.8582529,298.9354281,25.7854281
01/03/1991,AMZ01,298.0659248,298.9928155,25.8428155
01/04/1991,AMZ01,297.8848389,298.8093593,25.6593593
01/05/1991,AMZ01,297.6756518,298.6363512,25.4863512
01/06/1991,AMZ01,297.7416203,298.7057371,25.5557371
01/07/1991,AMZ01,297.7432647,298.565965,25.415965
01/08/1991,AMZ01,298.2450464,297.8917644,24.7417644
01/09/1991,AMZ01,299.7319408,298.0886015,24.9386015
01/10/1991,AMZ01,299.8049736,297.6382045,24.4882045
01/11/1991,AMZ01,300.4346882,298.6181113,25.4681113
01/12/1991,AMZ01,300.0626575,299.5187818,26.3687818
01/01/1992,AMZ01,298.8843876,299.7321278,26.5821278
01/02/1992,AMZ01,298.0333362,299.1105114,25.9605114
01/03/1992,AMZ01,297.8756489,298.8025396,25.6525396
01/04/1992,AMZ01,298.2505879,299.1751083,26.0251083
01/05/1992,AMZ01,298.8731571,299.8338565,26.6838565
01/06/1992,AMZ01,298.4251046,299.3892214,26.2392214
01/07/1992,AMZ01,298.5959209,299.4186212,26.2686212
01/08/1992,AMZ01,299.2952822,298.9420002,25.7920002
01/09/1992,AMZ01,300.4003259,298.7569866,25.6069866
01/10/1992,AMZ01,300.8175789,298.6508098,25.5008098
01/11/1992,AMZ01,299.7070893,297.8905124,24.7405124
01/12/1992,AMZ01,299.0579449,298.5140692,25.3640692
01/01/1993,AMZ01,297.797921,298.6456612,25.4956612
01/02/1993,AMZ01,297.6639803,298.7411555,25.5911555
01/03/1993,AMZ01,297.4624425,298.3893332,25.2393332
01/04/1993,AMZ01,297.5883413,298.5128617,25.3628617
01/05/1993,AMZ01,298.1203006,299.081,25.931
01/06/1993,AMZ01,298.1396864,299.1038032,25.9538032
01/07/1993,AMZ01,298.5402916,299.3629919,26.2129919
01/08/1993,AMZ01,299.5457323,299.1924503,26.0424503
01/09/1993,AMZ01,300.4797587,298.8364194,25.6864194
01/10/1993,AMZ01,300.6646707,298.4979016,25.3479016
01/11/1993,AMZ01,299.7379617,297.9213848,24.7713848
01/12/1993,AMZ01,298.8135061,298.2696304,25.1196304
01/01/1994,AMZ01,297.5531858,298.400926,25.250926
01/02/1994,AMZ01,297.2636528,298.340828,25.190828
01/03/1994,AMZ01,297.6420565,298.5689472,25.4189472
01/04/1994,AMZ01,297.6888048,298.6133252,25.4633252
01/05/1994,AMZ01,297.2676409,298.2283403,25.0783403
01/06/1994,AMZ01,297.7806862,298.744803,25.594803
01/07/1994,AMZ01,297.851812,298.6745123,25.5245123
01/08/1994,AMZ01,298.956902,298.60362,25.45362
01/09/1994,AMZ01,300.4701643,298.826825,25.676825
01/10/1994,AMZ01,299.9696578,297.8028887,24.6528887
01/11/1994,AMZ01,299.668177,297.8516001,24.7016001
01/12/1994,AMZ01,299.1395663,298.5956906,25.4456906
01/01/1995,AMZ01,297.7359347,298.5836749,25.4336749
01/02/1995,AMZ01,297.8311449,298.9083201,25.7583201
01/03/1995,AMZ01,298.1816486,299.1085393,25.9585393
01/04/1995,AMZ01,298.0520882,298.9766086,25.8266086
01/05/1995,AMZ01,297.5812557,298.5419551,25.3919551
01/06/1995,AMZ01,297.6340798,298.5981966,25.4481966
01/07/1995,AMZ01,297.8505241,298.6732244,25.5232244
01/08/1995,AMZ01,299.5833579,299.2300759,26.0800759
01/09/1995,AMZ01,300.5783165,298.9349772,25.7849772
01/10/1995,AMZ01,301.1862642,299.0194951,25.8694951
01/11/1995,AMZ01,299.7313207,297.9147438,24.7647438
01/12/1995,AMZ01,299.4227921,298.8789164,25.7289164
01/01/1996,AMZ01,297.0538898,297.90163,24.75163
01/02/1996,AMZ01,297.3699412,298.4471164,25.2971164
