region,date,precipitation_mm
AMZ01,01/01/1985,275.4829144
AMZ01,01/02/1985,283.4398144
AMZ01,01/03/1985,295.0164549
AMZ01,01/04/1985,256.3703788
AMZ01,01/05/1985,418.295967
AMZ01,01/06/1985,266.1136437
AMZ01,01/07/1985,192.748614
AMZ01,01/08/1985,140.1088698
AMZ01,01/09/1985,51.82063972
AMZ01,01/10/1985,60.52174236
AMZ01,01/11/1985,113.942545
AMZ01,01/12/1985,248.1108333
AMZ01,01/01/1986,245.8998867
AMZ01,01/02/1986,236.5729747
AMZ01,01/03/1986,270.5307997
AMZ01,01/04/1986,281.6545525
AMZ01,01/05/1986,334.4774773
AMZ01,01/06/1986,302.4588349
AMZ01,01/07/1986,137.1710655
AMZ01,01/08/1986,57.26756072
AMZ01,01/09/1986,60.12031709
AMZ01,01/10/1986,57.04190467
AMZ01,01/11/1986,102.3623581
AMZ01,01/12/1986,147.0045517
AMZ01,01/01/1987,231.9981016
AMZ01,01/02/1987,200.1850626
AMZ01,01/03/1987,202.7659207
AMZ01,01/04/1987,349.7997892
AMZ01,01/05/1987,288.1178825
AMZ01,01/06/1987,192.8584274
AMZ01,01/07/1987,160.0788269
AMZ01,01/08/1987,71.57083956
AMZ01,01/09/1987,58.93883071
AMZ01,01/10/1987,35.54824704
AMZ01,01/11/1987,29.78530397
AMZ01,01/12/1987,122.1259702
AMZ01,01/01/1988,252.1239059
AMZ01,01/02/1988,291.2466915
AMZ01,01/03/1988,257.0742393
AMZ01,01/04/1988,311.8311422
AMZ01,01/05/1988,519.9274897
AMZ01,01/06/1988,336.3077211
AMZ01,01/07/1988,222.4905677
AMZ01,01/08/1988,109.7963457
AMZ01,01/09/1988,82.15997677
AMZ01,01/10/1988,51.33188492
AMZ01,01/11/1988,102.2859471
AMZ01,01/12/1988,231.2704045
AMZ01,01/01/1989,330.2146431
AMZ01,01/02/1989,334.2875684
AMZ01,01/03/1989,428.8738796
AMZ01,01/04/1989,340.5067627
AMZ01,01/05/1989,422.9598223
AMZ01,01/06/1989,265.2249434
AMZ01,01/07/1989,219.4072236
AMZ01,01/08/1989,92.7496276
AMZ01,01/09/1989,47.71130914
AMZ01,01/10/1989,98.75206118
AMZ01,01/11/1989,113.3871485
AMZ01,01/12/1989,208.2050139
AMZ01,01/01/1990,259.2741633
AMZ01,01/02/1990,261.948419
AMZ01,01/03/1990,360.6730403
AMZ01,01/04/1990,386.5667644
AMZ01,01/05/1990,316.6502989
AMZ01,01/06/1990,231.4937512
AMZ01,01/07/1990,150.654494
AMZ01,01/08/1990,118.8822044
AMZ01,01/09/1990,49.66833892
AMZ01,01/10/1990,51.37333483
AMZ01,01/11/1990,58.51655807
AMZ01,01/12/1990,127.9727242
AMZ01,01/01/1991,279.5266544
AMZ01,01/02/1991,239.9815405
AMZ01,01/03/1991,289.6647982
AMZ01,01/04/1991,295.2042812
AMZ01,01/05/1991,327.5909777
AMZ01,01/06/1991,267.6591626
AMZ01,01/07/1991,174.7944865
AMZ01,01/08/1991,113.3199963
AMZ01,01/09/1991,42.60113715
AMZ01,01/10/1991,37.21625709
AMZ01,01/11/1991,20.76029422
AMZ01,01/12/1991,58.23436265
AMZ01,01/01/1992,103.1811281
AMZ01,01/02/1992,289.0752337
AMZ01,01/03/1992,317.7363287
AMZ01,01/04/1992,326.4237085
AMZ01,01/05/1992,145.794712
AMZ01,01/06/1992,124.3077699
AMZ01,01/07/1992,111.0679317
AMZ01,01/08/1992,92.33469177
AMZ01,01/09/1992,28.35077622
AMZ01,01/10/1992,23.48092131
AMZ01,01/11/1992,64.41866408
AMZ01,01/12/1992,104.8444258
AMZ01,01/01/1993,222.6013449
AMZ01,01/02/1993,256.0217868
AMZ01,01/03/1993,369.1382738
AMZ01,01/04/1993,365.9149767
AMZ01,01/05/1993,271.7991897
AMZ01,01/06/1993,187.3907182
AMZ01,01/07/1993,116.6537006
AMZ01,01/08/1993,71.6743117
AMZ01,01/09/1993,56.13038303
AMZ01,01/10/1993,57.11530429
AMZ01,01/11/1993,128.3325487
AMZ01,01/12/1993,143.558782
AMZ01,01/01/1994,243.1652226
AMZ01,01/02/1994,244.4583222
AMZ01,01/03/1994,316.7186663
AMZ01,01/04/1994,315.3102991
AMZ01,01/05/1994,384.1710981
AMZ01,01/06/1994,213.9766512
AMZ01,01/07/1994,182.9202048
AMZ01,01/08/1994,116.8319507
AMZ01,01/09/1994,41.80596212
AMZ01,01/10/1994,75.49885934
AMZ01,01/11/1994,111.3197558
AMZ01,01/12/1994,116.7694349
AMZ01,01/01/1995,209.0156778
AMZ01,01/02/1995,200.631632
AMZ01,01/03/1995,285.8550078
AMZ01,01/04/1995,317.3173956
AMZ01,01/05/1995,381.8996174
AMZ01,01/06/1995,300.468817
AMZ01,01/07/1995,200.1910573
AMZ01,01/08/1995,62.66041545
AMZ01,01/09/1995,42.02069183
AMZ01,01/10/1995,31.65698977
AMZ01,01/11/1995,126.9074969
AMZ01,01/12/1995,116.5553993
AMZ01,01/01/1996,368.6724272
AMZ01,01/02/1996,323.9031382
AMZ01,01/03/1996,421.3154585
AMZ01,01/04/1996,323.7585681
AMZ01,01/05/1996,416.3537561
AMZ01,01/06/1996,303.8732885
AMZ01,01/07/1996,225.7909384
AMZ01,01/08/1996,108.0927271
AMZ01,01/09/1996,51.2425405
AMZ01,01/10/1996,35.03837952
AMZ01,01/11/1996,77.41392988
AMZ01,01/12/1996,100.1897038
AMZ01,01/01/1997,302.4585342
AMZ01,01/02/1997,304.9808249
AMZ01,01/03/1997,277.4350076
AMZ01,01/04/1997,314.4880367
AMZ01,01/05/1997,338.0210741
AMZ01,01/06/1997,142.4918169
AMZ01,01/07/1997,118.6453857
AMZ01,01/08/1997,99.82642082
AMZ01,01/09/1997,28.43670544
AMZ01,01/10/1997,18.83255841
AMZ01,01/11/1997,57.80197136
AMZ01,01/12/1997,103.0720608
AMZ01,01/01/1998,193.4973385
AMZ01,01/02/1998,183.6966811
AMZ01,01/03/1998,283.1206189
AMZ01,01/04/1998,360.7805721
AMZ01,01/05/1998,307.5598573
AMZ01,01/06/1998,213.7697732
AMZ01,01/07/1998,169.6502686
AMZ01,01/08/1998,71.51534123
AMZ01,01/09/1998,40.13453488
AMZ01,01/10/1998,36.78234722
AMZ01,01/11/1998,100.2576092
AMZ01,01/12/1998,158.6981026
AMZ01,01/01/1999,299.2673551
AMZ01,01/02/1999,298.9439859
AMZ01,01/03/1999,378.3124752
AMZ01,01/04/1999,377.395106
AMZ01,01/05/1999,343.0997613
AMZ01,01/06/1999,235.4025639
AMZ01,01/07/1999,171.0522229
AMZ01,01/08/1999,130.8769686
AMZ01,01/09/1999,66.33354037
AMZ01,01/10/1999,57.29481791
AMZ01,01/11/1999,47.18787165
AMZ01,01/12/1999,133.855878
AMZ01,01/01/2000,344.5109802
AMZ01,01/02/2000,302.6125543
AMZ01,01/03/2000,450.678525
AMZ01,01/04/2000,523.1899465
AMZ01,01/05/2000,448.528444
AMZ01,01/06/2000,197.6955647
AMZ01,01/07/2000,198.3320629
AMZ01,01/08/2000,86.82781774
AMZ01,01/09/2000,69.07371754
AMZ01,01/10/2000,39.09248737
AMZ01,01/11/2000,65.29069234
AMZ01,01/12/2000,129.5873825
AMZ01,01/01/2001,333.5938463
AMZ01,01/02/2001,303.8398562
AMZ01,01/03/2001,287.5270248
AMZ01,01/04/2001,376.7179558
AMZ01,01/05/2001,324.7878836
AMZ01,01/06/2001,256.7083623
AMZ01,01/07/2001,137.7280283
AMZ01,01/08/2001,68.67895148
AMZ01,01/09/2001,56.44939783
AMZ01,01/10/2001,41.36553811
AMZ01,01/11/2001,42.86734097
AMZ01,01/12/2001,69.95155668
AMZ01,01/01/2002,254.9212745
AMZ01,01/02/2002,296.2667891
AMZ01,01/03/2002,376.6863085
AMZ01,01/04/2002,435.9912964
AMZ01,01/05/2002,338.1416966
AMZ01,01/06/2002,250.6249906
AMZ01,01/07/2002,94.25366306
AMZ01,01/08/2002,73.93625596
AMZ01,01/09/2002,28.26747056
AMZ01,01/10/2002,25.62860011
AMZ01,01/11/2002,50.60254106
AMZ01,01/12/2002,174.5219587
AMZ01,01/01/2003,154.3112508
AMZ01,01/02/2003,361.4537476
AMZ01,01/03/2003,250.8177369
AMZ01,01/04/2003,395.6956077
AMZ01,01/05/2003,328.8063914
AMZ01,01/06/2003,212.6492879
AMZ01,01/07/2003,199.8994361
AMZ01,01/08/2003,86.59035563
AMZ01,01/09/2003,69.629561
AMZ01,01/10/2003,54.98601503
AMZ01,01/11/2003,59.65229387
AMZ01,01/12/2003,101.9557778
AMZ01,01/01/2004,158.1159206
AMZ01,01/02/2004,356.8351313
AMZ01,01/03/2004,416.7185356
AMZ01,01/04/2004,407.6845757
AMZ01,01/05/2004,331.6810814
AMZ01,01/06/2004,201.0099095
AMZ01,01/07/2004,193.8454048
AMZ01,01/08/2004,94.26561397
AMZ01,01/09/2004,50.5946707
AMZ01,01/10/2004,44.08789662
AMZ01,01/11/2004,22.57968556
