date,region,AirTemp_des_oC,CHIRPSdes_mm,TWSrec_mm,GRACEdes_mm
01/04/2002,Reg_AMZ01,25.2863729,274.4263128,67.35184661,-45.17770114
01/05/2002,Reg_AMZ01,25.4852715,186.7676547,50.4484967,-105.9086698
01/06/2002,Reg_AMZ01,25.0956604,221.4939085,60.79797857,-139.5346691
01/07/2002,Reg_AMZ01,25.9225583,120.1940267,45.0757646,-110.0522824
01/08/2002,Reg_AMZ01,25.6094831,178.7153077,24.3598799,-20.52090075
01/09/2002,Reg_AMZ01,25.5250872,177.5995163,9.16253015,-77.75972746
01/10/2002,Reg_AMZ01,25.303626,177.0086966,-4.984117725,-99.35286375
01/11/2002,Reg_AMZ01,25.2783841,183.5735729,-8.853477254,-80.2909842
01/12/2002,Reg_AMZ01,24.7713898,227.7540578,-4.446925655,-99.81460999
01/01/2003,Reg_AMZ01,26.1986053,111.1829269,-49.67408906,-114.1885526
01/02/2003,Reg_AMZ01,25.3144989,269.7543276,-69.99535241,-138.5866632
01/03/2003,Reg_AMZ01,25.7259361,110.0808997,-84.51498987,-171.4959748
01/04/2003,Reg_AMZ01,25.2220253,234.1306241,-77.00708567,-162.0696474
01/05/2003,Reg_AMZ01,25.3276182,177.4323495,-28.23409165,-147.6290395
01/06/2003,Reg_AMZ01,25.4866727,183.5182058,-26.08859598,-142.3708399
01/07/2003,Reg_AMZ01,25.3502096,225.8397997,-24.32835061,-74.00425436
01/08/2003,Reg_AMZ01,25.2494733,191.3694074,-16.71186313,-72.07994129
01/09/2003,Reg_AMZ01,25.2743649,218.9616067,-1.090029269,-52.25811056
01/10/2003,Reg_AMZ01,25.1276634,206.3661116,11.05969246,-44.24630625
01/11/2003,Reg_AMZ01,25.4605519,192.6233257,18.06188171,-38.6579957
01/12/2003,Reg_AMZ01,26.0521034,155.1878769,-3.970540281,-71.69248469
01/01/2004,Reg_AMZ01,26.2525746,114.9875967,-27.5579112,-72.6251965
01/02/2004,Reg_AMZ01,25.3599241,265.1357113,-54.64094139,-115.8908397
01/03/2004,Reg_AMZ01,25.0903231,275.9816984,12.12834075,-97.44111564
01/04/2004,Reg_AMZ01,25.6671927,246.1195921,55.0370673,-91.04272752
01/05/2004,Reg_AMZ01,25.6681567,180.3070395,87.87093379,-89.20462191
01/06/2004,Reg_AMZ01,25.1371551,171.8788274,61.02260848,-118.0539431
01/07/2004,Reg_AMZ01,25.0803455,219.7857684,57.41001375,-119.8531824
01/08/2004,Reg_AMZ01,24.977212,199.0446657,66.84952509,-67.58508154
01/09/2004,Reg_AMZ01,25.3379334,199.9267164,69.99154591,-50.67403306
01/10/2004,Reg_AMZ01,25.700975,195.4679932,61.98383286,-11.96102265
01/11/2004,Reg_AMZ01,26.3185388,155.5507174,41.81527455,-41.433231
01/12/2004,Reg_AMZ01,27.0094495,140.7650303,-0.234180055,-101.6967102
01/01/2005,Reg_AMZ01,26.9515733,154.5881819,-28.48170088,-143.6203887
01/02/2005,Reg_AMZ01,25.954009,218.9231626,8.492697721,-132.6964118
01/03/2005,Reg_AMZ01,25.8266219,219.0014922,35.90099378,-73.23305638
01/04/2005,Reg_AMZ01,25.2679031,284.2555889,49.2622093,-37.49216174
01/05/2005,Reg_AMZ01,25.4484965,228.7687339,55.71546568,-45.95704991
01/06/2005,Reg_AMZ01,25.9939258,158.354154,23.39072371,-101.3384289
01/07/2005,Reg_AMZ01,25.5761346,196.9295088,7.963783908,-106.7184272
01/08/2005,Reg_AMZ01,25.6362426,190.3535582,4.339069134,-105.464259
01/09/2005,Reg_AMZ01,25.8786435,178.2554186,-5.30938682,-104.2773203
01/10/2005,Reg_AMZ01,25.7264111,199.1885181,-14.16053657,-100.8296603
01/11/2005,Reg_AMZ01,26.076673,189.8511409,-23.00895327,-98.3468202
01/12/2005,Reg_AMZ01,24.4151554,293.3901606,28.12964577,-7.37959839
01/01/2006,Reg_AMZ01,25.2001122,209.6709679,126.0703277,72.1095658
01/02/2006,Reg_AMZ01,25.6612438,206.6114668,133.8543322,67.44951377
01/03/2006,Reg_AMZ01,25.4231701,179.0924222,102.1177923,35.25310699
01/04/2006,Reg_AMZ01,25.0366036,232.3647032,100.276188,11.43421986
01/05/2006,Reg_AMZ01,24.8894476,259.8118771,151.0419633,70.65577279
01/06/2006,Reg_AMZ01,24.9943904,278.9018084,189.5384433,73.26720643
01/07/2006,Reg_AMZ01,25.3818503,206.7838227,181.8445489,51.63081404
01/08/2006,Reg_AMZ01,25.4691773,181.6218904,156.6643485,14.53782459
01/09/2006,Reg_AMZ01,25.7031651,202.5486289,120.8018899,-3.33668571
01/10/2006,Reg_AMZ01,25.6925344,186.8916025,92.89868614,-41.60271415
01/11/2006,Reg_AMZ01,24.7118465,238.2581348,95.37307856,-3.4480229
