region,AT_oC_SL_s85,AT_oC_SL_s02,CHIRPS_mm_SL_s85,CHIRPS_mm_SL_s02,TWSrec_mm_SL_s85,TWSrec_mm_SL_s02,GRACE_mm_SL_s02,Total.Area.Deforested_km2,Nat_85_km2,Nat_02_km2,Nat_18_km2,Area.Region_km2,Ant_1985_km2,Ant_2002_km2,Ant_18_km2,CR_2018,Clas_ant.nat.2018,CR_ant2018.nat2002,Clas_ant2018.nat.2002,CR_ant2018.nat1985,Clas_ant2018.nat.1985,AT_trend_s85,AT_trend_s02,CHIRPS_trend_s85,CHIRPS_trend_s02,TWSrec_trend_s85,TWSrec_trend_s02,GRACE_trend_s02
AMZ01,0.001081548,0.002917309,0.00543411,-0.099739858,0.246532999,-0.359425437,0.445491188,5430,271134,265442,265704,283767,6164,10845,11140,0.041926354,Native,0.041967737,Native,0.041086695,Native,(+)_trend,(+)_trend,no_trend,no_trend,(+)_trend,(-)_trend,(+)_trend
AMZ02,0.001700761,0.003283741,0.04459016,-0.079766767,0.085464235,-0.631949794,0.750886555,5400,243455,238969,238056,258905,4509,5124,5935,0.024931109,Native,0.024835857,Native,0.024378222,Native,(+)_trend,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(+)_trend
AMZ03,0.001524728,0.003098369,0.017674332,-0.1245494,0.011017884,-0.377384214,0.203951923,5585,379892,378478,374307,396012,3061,6628,10287,0.027482788,Native,0.027179915,Native,0.027078749,Native,(+)_trend,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,no_trend
AMZ04,0.001360338,0.002284054,0.050398226,-0.000643439,-0.045945416,0.135392361,0.112332553,1441,310918,310210,309478,315713,651,1602,2280,0.007367244,Native,0.00734986,Native,0.007333123,Native,(+)_trend,(+)_trend,(+)_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
AMZ05,0.001184481,0.001407836,0.008446592,0.01080579,-0.063304318,0.18509788,0.170657752,13526,359977,352857,346451,381547,15357,22748,29085,0.083951266,Native,0.082427159,Native,0.080796829,Native,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
AMZ06,0.0013974,0.001197343,0.107132031,0.255282622,-0.05800119,0.14640118,0.258214986,3964,240232,237315,236268,255440,8137,11658,12645,0.053519732,Native,0.05328361,Native,0.052636618,Native,(+)_trend,(+)_trend,(+)_trend,(+)_trend,(-)_trend,(+)_trend,(+)_trend
AMZ07,0.00124311,0.000667199,0.051124577,-0.094088505,-0.031774418,0.217066497,0.198222543,9131,199692,194034,190561,235272,30242,36711,39691,0.208285011,Changing,0.204556933,Changing,0.198761092,Changing,(+)_trend,no_trend,(+)_trend,(-)_trend,(-)_trend,(+)_trend,(+)_trend
AMZ08,0.001955038,0.001573468,0.04120252,0.023361125,-0.039421754,0.127179052,0.187406249,8599,212696,208045,204097,241448,13252,17387,20229,0.099114637,Native,0.097233772,Native,0.095107571,Native,(+)_trend,(+)_trend,(+)_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
AMZ09,0.001833308,0.00077153,0.063873079,0.154314324,-0.08617667,0.343466906,0.447400641,4541,278018,276101,273476,285628,3542,5541,8117,0.02968085,Native,0.029398662,Native,0.029195951,Native,(+)_trend,no_trend,(+)_trend,(+)_trend,(-)_trend,(+)_trend,(+)_trend
AMZ10,0.001507501,0.001874305,-0.008563351,-0.029128627,-0.116414176,0.612830304,0.879345057,-365,240855,241229,241220,250036,969,736,979,0.004058536,Native,0.004058384,Native,0.004064686,Native,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
AMZ11,0.001943073,0.002928399,-0.029752087,-0.044038197,-0.208522373,0.187527747,0.684341439,1519,245883,245691,244365,258526,1786,1822,2822,0.011548299,Native,0.011485972,Native,0.011477003,Native,(+)_trend,(+)_trend,(-)_trend,no_trend,(-)_trend,no_trend,(+)_trend
AMZ12,0.001720099,0.001640783,0.024969679,0.058664769,-0.029453138,0.424871465,0.378098546,17832,291768,283019,273936,298995,5474,14180,23190,0.08465481,Native,0.081937962,Native,0.079480957,Native,(+)_trend,(+)_trend,(+)_trend,no_trend,no_trend,(+)_trend,(+)_trend
AMZ13,0.001642575,0.001507501,0.050916095,0.054031838,-0.014690555,0.370934448,0.25567773,13133,332491,328288,319357,345391,4216,8166,16771,0.052514897,Native,0.051086241,Native,0.050440463,Native,(+)_trend,no_trend,(+)_trend,no_trend,no_trend,(+)_trend,(+)_trend
