region,date,GRACEmean,GRACEmean_filled,GRACEdes
Reg_AMZ01,01/04/2002,13.44703263,13.44703263,-4.517770114
Reg_AMZ01,01/05/2002,18.0555792,18.0555792,-10.59086698
Reg_AMZ01,01/06/2002,,14.87588642,-13.95346691
Reg_AMZ01,01/07/2002,,11.69619364,-11.00522824
Reg_AMZ01,01/08/2002,8.516500856,8.516500856,-2.052090075
Reg_AMZ01,01/09/2002,-13.90485809,-13.90485809,-7.775972746
Reg_AMZ01,01/10/2002,-29.76976471,-29.76976471,-9.935286375
Reg_AMZ01,01/11/2002,-36.01120718,-36.01120718,-8.02909842
Reg_AMZ01,01/12/2002,-38.96661367,-38.96661367,-9.981460999
Reg_AMZ01,01/01/2003,-32.61816557,-32.61816557,-11.41885526
Reg_AMZ01,01/02/2003,-23.03884112,-23.03884112,-13.85866632
Reg_AMZ01,01/03/2003,-12.55010232,-12.55010232,-17.14959748
Reg_AMZ01,01/04/2003,1.757838003,1.757838003,-16.20696474
Reg_AMZ01,01/05/2003,13.88354223,13.88354223,-14.76290395
Reg_AMZ01,01/06/2003,,14.59226934,-14.23708399
Reg_AMZ01,01/07/2003,15.30099644,15.30099644,-7.400425436
Reg_AMZ01,01/08/2003,3.360596802,3.360596802,-7.207994129
Reg_AMZ01,01/09/2003,-11.3546964,-11.3546964,-5.225811056
Reg_AMZ01,01/10/2003,-24.25910896,-24.25910896,-4.424630625
Reg_AMZ01,01/11/2003,-31.84790833,-31.84790833,-3.86579957
Reg_AMZ01,01/12/2003,-36.15440114,-36.15440114,-7.169248469
Reg_AMZ01,01/01/2004,,-28.46182996,-7.26251965
Reg_AMZ01,01/02/2004,-20.76925877,-20.76925877,-11.58908397
Reg_AMZ01,01/03/2004,-5.144616403,-5.144616403,-9.744111564
Reg_AMZ01,01/04/2004,8.860529992,8.860529992,-9.104272752
Reg_AMZ01,01/05/2004,19.72598399,19.72598399,-8.920462191
Reg_AMZ01,01/06/2004,17.02395902,17.02395902,-11.80539431
Reg_AMZ01,01/07/2004,10.71610364,10.71610364,-11.98531824
Reg_AMZ01,01/08/2004,3.810082777,3.810082777,-6.758508154
Reg_AMZ01,01/09/2004,-11.19628865,-11.19628865,-5.067403306
Reg_AMZ01,01/10/2004,-21.0305806,-21.0305806,-1.196102265
Reg_AMZ01,01/11/2004,-32.12543186,-32.12543186,-4.1433231
Reg_AMZ01,01/12/2004,-39.15482369,-39.15482369,-10.16967102
Reg_AMZ01,01/01/2005,-35.56134918,-35.56134918,-14.36203887
Reg_AMZ01,01/02/2005,-22.44981598,-22.44981598,-13.26964118
Reg_AMZ01,01/03/2005,-2.723810477,-2.723810477,-7.323305638
Reg_AMZ01,01/04/2005,14.21558657,14.21558657,-3.749216174
Reg_AMZ01,01/05/2005,24.05074119,24.05074119,-4.595704991
Reg_AMZ01,01/06/2005,18.69551044,18.69551044,-10.13384289
Reg_AMZ01,01/07/2005,12.02957916,12.02957916,-10.67184272
Reg_AMZ01,01/08/2005,0.022165032,0.022165032,-10.5464259
Reg_AMZ01,01/09/2005,-16.55661737,-16.55661737,-10.42773203
Reg_AMZ01,01/10/2005,-29.91744437,-29.91744437,-10.08296603
Reg_AMZ01,01/11/2005,-37.81679078,-37.81679078,-9.83468202
Reg_AMZ01,01/12/2005,-29.72311251,-29.72311251,-0.737959839
Reg_AMZ01,01/01/2006,-13.98835373,-13.98835373,7.21095658
Reg_AMZ01,01/02/2006,-2.435223423,-2.435223423,6.744951377
Reg_AMZ01,01/03/2006,8.12480586,8.12480586,3.525310699
Reg_AMZ01,01/04/2006,19.10822473,19.10822473,1.143421986
Reg_AMZ01,01/05/2006,35.71202346,35.71202346,7.065577279
Reg_AMZ01,01/06/2006,36.15607397,36.15607397,7.326720643
Reg_AMZ01,01/07/2006,27.86450328,27.86450328,5.163081404
Reg_AMZ01,01/08/2006,12.02237339,12.02237339,1.453782459
Reg_AMZ01,01/09/2006,-6.462553915,-6.462553915,-0.333668571
Reg_AMZ01,01/10/2006,-23.99474975,-23.99474975,-4.160271415
Reg_AMZ01,01/11/2006,-28.32691105,-28.32691105,-0.34480229
Reg_AMZ01,01/12/2006,-25.11047024,-25.11047024,3.874682431
Reg_AMZ01,01/01/2007,-22.70367317,-22.70367317,-1.50436286
Reg_AMZ01,01/02/2007,-18.79515429,-18.79515429,-9.61497949
Reg_AMZ01,01/03/2007,-6.103469897,-6.103469897,-10.70296506
Reg_AMZ01,01/04/2007,10.01424584,10.01424584,-7.950556904
Reg_AMZ01,01/05/2007,22.38645105,22.38645105,-6.259995131
Reg_AMZ01,01/06/2007,26.5476338,26.5476338,-2.281719527
Reg_AMZ01,01/07/2007,19.34645656,19.34645656,-3.354965316
Reg_AMZ01,01/08/2007,8.329975623,8.329975623,-2.238615308
Reg_AMZ01,01/09/2007,-8.466415599,-8.466415599,-2.337530255
Reg_AMZ01,01/10/2007,-20.15565825,-20.15565825,-0.321179915
Reg_AMZ01,01/11/2007,-26.34577712,-26.34577712,1.63633164
Reg_AMZ01,01/12/2007,-22.60504153,-22.60504153,6.380111141
Reg_AMZ01,01/01/2008,-12.42539424,-12.42539424,8.77391607
