region,date,TWSrec_mm
AMZ01,15/01/1985,94.53796813
AMZ01,15/02/1985,72.41869715
AMZ01,15/03/1985,40.44584827
AMZ01,15/04/1985,-27.76601302
AMZ01,15/05/1985,-42.85187039
AMZ01,15/06/1985,-7.414046215
AMZ01,15/07/1985,10.23815158
AMZ01,15/08/1985,49.74522021
AMZ01,15/09/1985,73.77409109
AMZ01,15/10/1985,67.18847533
AMZ01,15/11/1985,74.04438798
AMZ01,15/12/1985,135.67281
AMZ01,15/01/1986,143.7271572
AMZ01,15/02/1986,137.4946885
AMZ01,15/03/1986,135.1719809
AMZ01,15/04/1986,84.88086512
AMZ01,15/05/1986,41.54682115
AMZ01,15/06/1986,68.69253585
AMZ01,15/07/1986,85.85463289
AMZ01,15/08/1986,53.48303415
AMZ01,15/09/1986,39.29363265
AMZ01,15/10/1986,36.76603203
AMZ01,15/11/1986,50.2784507
AMZ01,15/12/1986,71.01364119
AMZ01,15/01/1987,64.91271059
AMZ01,15/02/1987,20.84989834
AMZ01,15/03/1987,-20.76420422
AMZ01,15/04/1987,-67.07261908
AMZ01,15/05/1987,-67.00460475
AMZ01,15/06/1987,-124.6987373
AMZ01,15/07/1987,-138.0165146
AMZ01,15/08/1987,-143.7227858
AMZ01,15/09/1987,-135.1021234
AMZ01,15/10/1987,-113.4705628
AMZ01,15/11/1987,-112.8727068
AMZ01,15/12/1987,-138.7990865
AMZ01,15/01/1988,-147.7058267
AMZ01,15/02/1988,-125.2220997
AMZ01,15/03/1988,-154.2343287
AMZ01,15/04/1988,-190.9502348
AMZ01,15/05/1988,-173.509105
AMZ01,15/06/1988,-114.5967642
AMZ01,15/07/1988,-57.92669079
AMZ01,15/08/1988,-44.67918518
AMZ01,15/09/1988,-16.26538912
AMZ01,15/10/1988,2.269757966
AMZ01,15/11/1988,0.597410249
AMZ01,15/12/1988,48.4670461
AMZ01,15/01/1989,96.87192134
AMZ01,15/02/1989,129.5531679
AMZ01,15/03/1989,144.0411793
AMZ01,15/04/1989,143.4313786
AMZ01,15/05/1989,136.183495
AMZ01,15/06/1989,164.9168865
AMZ01,15/07/1989,170.678876
AMZ01,15/08/1989,155.1377288
AMZ01,15/09/1989,115.3039391
AMZ01,15/10/1989,110.349887
AMZ01,15/11/1989,119.8863073
AMZ01,15/12/1989,97.01223048
AMZ01,15/01/1990,69.54815723
AMZ01,15/02/1990,42.59454597
AMZ01,15/03/1990,35.72414107
AMZ01,15/04/1990,23.86710128
AMZ01,15/05/1990,-1.682978168
AMZ01,15/06/1990,-41.60309867
AMZ01,15/07/1990,-44.15671674
AMZ01,15/08/1990,-34.06319653
AMZ01,15/09/1990,-34.78265306
AMZ01,15/10/1990,-45.61538397
AMZ01,15/11/1990,-62.29121686
AMZ01,15/12/1990,-63.61098972
AMZ01,15/01/1991,-45.39166101
AMZ01,15/02/1991,-49.90239664
AMZ01,15/03/1991,-80.97616398
AMZ01,15/04/1991,-119.0136005
AMZ01,15/05/1991,-121.6101163
AMZ01,15/06/1991,-90.01495113
AMZ01,15/07/1991,-79.07990739
AMZ01,15/08/1991,-64.08335226
AMZ01,15/09/1991,-57.90577573
AMZ01,15/10/1991,-63.34473612
AMZ01,15/11/1991,-77.56461179
AMZ01,15/12/1991,-120.7593013
AMZ01,15/01/1992,-178.2447281
AMZ01,15/02/1992,-222.0899908
AMZ01,15/03/1992,-184.636615
AMZ01,15/04/1992,-183.6165223
AMZ01,15/05/1992,-262.2999181
AMZ01,15/06/1992,-324.482734
AMZ01,15/07/1992,-343.350159
AMZ01,15/08/1992,-321.8900432
AMZ01,15/09/1992,-293.1095471
AMZ01,15/10/1992,-272.4984987
AMZ01,15/11/1992,-242.867003
AMZ01,15/12/1992,-225.5216462
AMZ01,15/01/1993,-221.2029599
AMZ01,15/02/1993,-227.3907259
AMZ01,15/03/1993,-203.3256949
AMZ01,15/04/1993,-191.7081317
AMZ01,15/05/1993,-190.696261
AMZ01,15/06/1993,-232.1828302
AMZ01,15/07/1993,-247.2347314
AMZ01,15/08/1993,-233.0545893
AMZ01,15/09/1993,-210.8874969
AMZ01,15/10/1993,-180.0830882
AMZ01,15/11/1993,-132.9189315
AMZ01,15/12/1993,-101.7844529
AMZ01,15/01/1994,-91.24618795
AMZ01,15/02/1994,-71.28919399
AMZ01,15/03/1994,-84.65908911
AMZ01,15/04/1994,-101.7450383
AMZ01,15/05/1994,-83.7175627
AMZ01,15/06/1994,-92.6969047
AMZ01,15/07/1994,-98.4065129
AMZ01,15/08/1994,-99.04207684
AMZ01,15/09/1994,-89.68842481
AMZ01,15/10/1994,-61.21802223
AMZ01,15/11/1994,-57.00117354
AMZ01,15/12/1994,-45.57697829
AMZ01,15/01/1995,-78.23905804
AMZ01,15/02/1995,-135.8673212
AMZ01,15/03/1995,-138.0646156
AMZ01,15/04/1995,-149.6998552
AMZ01,15/05/1995,-147.1654762
AMZ01,15/06/1995,-76.69343283
AMZ01,15/07/1995,-64.75410148
AMZ01,15/08/1995,-81.93960645
AMZ01,15/09/1995,-95.56088457
AMZ01,15/10/1995,-97.47256811
AMZ01,15/11/1995,-81.88089967
AMZ01,15/12/1995,-69.26767965
AMZ01,15/01/1996,-31.03883161
AMZ01,15/02/1996,21.24131727
AMZ01,15/03/1996,36.34798562
AMZ01,15/04/1996,24.25868325
AMZ01,15/05/1996,24.35631587
AMZ01,15/06/1996,69.0975909
AMZ01,15/07/1996,83.45857208
AMZ01,15/08/1996,85.09919721
AMZ01,15/09/1996,62.45627812
AMZ01,15/10/1996,40.40325581
AMZ01,15/11/1996,21.41037406
AMZ01,15/12/1996,12.09577911
AMZ01,15/01/1997,6.439094065
AMZ01,15/02/1997,31.7408885
AMZ01,15/03/1997,20.50411844
AMZ01,15/04/1997,-8.263716373
AMZ01,15/05/1997,-21.97347939
AMZ01,15/06/1997,-78.99625422
AMZ01,15/07/1997,-119.4100544
AMZ01,15/08/1997,-124.2759673
AMZ01,15/09/1997,-119.7082986
AMZ01,15/10/1997,-125.6785784
AMZ01,15/11/1997,-132.4626305
AMZ01,15/12/1997,-136.9273892
AMZ01,15/01/1998,-171.218217
AMZ01,15/02/1998,-225.685421
AMZ01,15/03/1998,-255.7659575
AMZ01,15/04/1998,-255.6233355
AMZ01,15/05/1998,-271.6304812
AMZ01,15/06/1998,-285.5970668
AMZ01,15/07/1998,-272.1706245
AMZ01,15/08/1998,-256.1620614
AMZ01,15/09/1998,-229.2628798
AMZ01,15/10/1998,-196.481568
AMZ01,15/11/1998,-157.386289
AMZ01,15/12/1998,-138.3582132
AMZ01,15/01/1999,-80.68622656
AMZ01,15/02/1999,-33.53148116
AMZ01,15/03/1999,-5.915726374
AMZ01,15/04/1999,42.21929388
AMZ01,15/05/1999,68.18890773
AMZ01,15/06/1999,124.8817069
AMZ01,15/07/1999,126.7119245
AMZ01,15/08/1999,146.6659009
AMZ01,15/09/1999,154.2233098
